水戸ホーリーホック 過去48時間まとめ / 傾向レポート
対象期間: 2026年9月24日 05:00頃 ～ 2026年9月26日 05:00頃（JST、過去48時間）
作成日時: 2026年9月26日 05:10頃 JST

【傾向レポート（過去48時間）】
株主総会と決算発表、チケット販売の動きが中心となった。J1昇格後のクラブ運営に関する公式発信と、ファンによる選手愛や地域連携の話題が目立つ。反応は公式発表への関心と、試合観戦への期待が混在する。公式アカウントはチケット発券状況や株主総会結果、ブース出展情報を継続的に発信した。次の焦点は10月のホームゲーム（清水戦・浦和戦）の動員と、新シーズンの戦力定着である。

【要約（過去48時間）】
- 9月25日、第31回定時株主総会を開催。第31期（2026年2月1日～6月30日）の事業報告・計算書類が承認され、役員人事も決定した。
- 公式がチケット発券枚数を公表。10月11日清水戦は10,784枚、10月17日浦和戦は会員先行時点で4,687枚。
- 10月17日浦和戦のチケット一般販売が開始。無料観戦サービス（キッズパスポート、TEENSSEAT、OVER65PASS）も受付中。
- 笠間市役所本所でJ2優勝トロフィーとシャーレを9月24日～29日まで展示中。
- 高萩市で10月7日にPR大使（舩橋佑選手・山下優人選手）のサイン会を開催予定。10月31日ホームゲーム「高萩市の日」に向けた取り組み。
- 10月11日清水戦でオーダースーツSADAブースが出店。選手・監督着用のオフィシャルスーツ即売会を実施。
- 明治安田健活ブースが10月17日浦和戦で出展。ベジタブルチェックや血管年齢測定会を予定。
- 10月3日高萩市で親子サッカー教室を開催。年中・年長・小学1・2年生対象、無料・先着。
- 取締役の小野哲人氏が株主総会後にコメント。J1昇格により売上計画が28億超に拡大した一方、残留へ向けた経営を強調。
- ファンから選手の通り名（渡邉新太「水戸のエース」、大崎航詩「水戸の心臓」）への言及や、カードゲーム企画の要望が出た。
- 分析アカウントが水戸ホーリーホックへの思いをnoteで発信。J1でのシャーレ掲揚を目標に掲げた。
- 渡邉新太選手のコメントが紹介され、齋藤俊輔の代表入りを刺激としつつ水戸の勝利貢献を優先する姿勢が伝えられた。
- 地方クラブのスカッド編成や新人獲得方針に関するファン議論が一部で見られた。
- マスコット・ホーリーくんのコラボ関連投稿がファン間で共有された。
- 地域メディアや個人がクラブの顔が見える運営姿勢を評価する声を上げた。

【代表ポスト】
@hollyhock_staff 第31期決算概要及び役員人事を発表。株主総会で承認された。
@hollyhock_staff チケット発券枚数情報を公表。清水戦1万枚超、浦和戦も販売開始。
@ibaraki_kasama 水戸ホーリーホックJ2優勝トロフィーとシャーレを笠間市役所で展示中と告知。
@Takahagi_jp 高萩市PR大使サイン会（舩橋・山下選手）を10月7日開催と案内。
@onotetsundo 株主総会後、来期も取締役を拝命。J1での残留と中期計画達成へ全力を表明。
@mitoblue12 水戸ホーリーホックへの思いをnoteで発信。茨城の魅力あるクラブを広めたいと記述。
@Lufu_Complaint 選手の通り名を紹介し、他の選手にも通り名が欲しいと投稿。
@FootballTribeJP J1初挑戦の水戸、今夏新加入11選手の活躍をA〜C評価した記事を紹介。
@mamejiro021 顔が見えるクラブスタッフとの距離感を水戸のアイデンティティーとして評価。
@dailyhollyhock 渡邉新太選手のコメントを掲載。代表入りより水戸の勝利貢献を優先する姿勢。
@hollykun_mito コラボに向けたホーリーくんの投稿がファンに拡散。
@Aotetsu_ noteの物々交換のようなやり取りを楽しむファン投稿。
@chiharusan0319 チームは好きなので応援を続けるとの声。
@fukofuco 茨城ロボッツと推し選手の背番号が同じだと指摘。
@AkirAkira1979 地方クラブのスカッド方針について水戸の例を挙げて考察。
@Sooorlv 松原修平選手が茨城町を表敬訪問したニュースを共有。
@aya_iquad ホーリーくんへの応援投稿。
@cV2F9uguCr4OoY5 水戸ホーリーホック応援動画を投稿。
@atmarker1 人件費規模に触れた投稿。
@Shakaiengo スポーツ関連ブログ投稿で水戸を言及。
